year,event,session,driver,driver_number,team,stint,compound,n_laps,stint_start_lap,stint_end_lap,tyre_age_start,tyre_age_end,pred_wear_s_per_lap,practice_wear_s_per_lap,loeo_wear_s_per_lap,field_wear_s_per_lap,live_wear_s_per_lap,actual_wear_s_per_lap,actual_wear_full_s_per_lap,wear_error,pred_plus_5_s,pred_plus_10_s,pred_plus_15_s,cliff_tyre_lap,recommended_pit_lap,actual_pit_lap,prior_source,notes
2026,Monza,R,BOT,77,Cadillac,3.0,SOFT,21,29.0,51.0,2.0,24.0,0.10233633254907139,0.01450591517625021,-0.03301188950928176,-0.046659709585232835,0.3070089976472142,0.03716477215398286,0.04731847824403603,0.06517156039508853,0.511681662745357,1.023363325490714,1.5350449882360708,9.8,,,live_field_lodo,no pit call from wear
2026,Monza,R,COL,43,Alpine,1.0,MEDIUM,2,1.0,2.0,1.0,2.0,0.03391440886639743,0.0076717235578238185,0.009456048481237754,0.03391440886639743,,,,,0.16957204433198717,0.33914408866397433,0.5087161329959615,29.5,,3.0,field_lodo,no pit call from wear
2026,Monza,R,COL,43,Alpine,2.0,HARD,45,7.0,53.0,4.0,50.0,0.034253352853849096,0.008878976868257941,0.030903339675026748,0.051380029280773634,-0.5893128028245799,0.07737751466536084,0.07166106212606843,-0.04312416181151175,0.17126676426924548,0.34253352853849095,0.5138002928077364,29.2,,,live_field_lodo,no pit call from wear
2026,Monza,R,GAS,10,Alpine,1.0,MEDIUM,2,1.0,2.0,1.0,2.0,0.033941382161272265,0.0076717235578238185,0.009456048481237754,0.033941382161272265,,,,,0.16970691080636133,0.33941382161272265,0.509120732419084,29.5,,3.0,field_lodo,no pit call from wear
2026,Monza,R,GAS,10,Alpine,2.0,HARD,45,7.0,53.0,4.0,50.0,0.05556603862976062,0.008878976868257941,0.030903339675026748,0.05343474463479756,0.05982862661968673,0.03183429526068711,0.05612919282340351,0.023731743369073507,0.2778301931488031,0.5556603862976062,0.8334905794464093,18.0,,,live_field_lodo,no pit call from wear
2026,Monza,R,HAM,44,Ferrari,1.0,SOFT,2,1.0,2.0,1.0,2.0,0.0,0.01450591517625021,-0.03301188950928176,-0.002288244231401447,,,,,0.0,0.0,0.0,,,3.0,field_lodo,no pit call from wear
2026,Monza,R,HAM,44,Ferrari,2.0,MEDIUM,45,7.0,53.0,4.0,50.0,0.020024674484687564,0.0076717235578238185,0.009456048481237754,0.03003701172703134,-0.24959039814760045,0.02338957134289263,0.03593076349466882,-0.003364896858205065,0.10012337242343781,0.20024674484687563,0.30037011727031343,49.9,,,live_field_lodo,no pit call from wear
2026,Monza,R,HUL,27,Audi,1.0,MEDIUM,2,1.0,2.0,1.0,2.0,0.030840797307596927,0.0076717235578238185,0.009456048481237754,0.030840797307596927,,,,,0.15420398653798464,0.3084079730759693,0.4626119596139539,32.4,,3.0,field_lodo,no pit call from wear
2026,Monza,R,HUL,27,Audi,2.0,HARD,20,7.0,26.0,4.0,23.0,0.21127473223301202,0.008878976868257941,0.030903339675026748,0.06171810456389552,0.510387987571245,-0.01037995196262059,0.0472275717296368,0.2216546841956326,1.05637366116506,2.11274732233012,3.1691209834951803,4.7,,27.0,live_field_lodo,no pit call from wear
2026,Monza,R,HUL,27,Audi,3.0,MEDIUM,25,29.0,53.0,5.0,29.0,0.2063068443798773,0.0076717235578238185,0.009456048481237754,0.030840797307596927,0.5572389385244381,0.10066864294604846,0.12879748561082358,0.10563820143382885,1.0315342218993866,2.063068443798773,3.09460266569816,4.8,,,live_field_lodo,no pit call from wear
2026,Monza,R,LAW,30,Red Bull Racing,1.0,MEDIUM,2,1.0,2.0,1.0,2.0,0.03973850549753912,0.0076717235578238185,0.009456048481237754,0.03973850549753912,,,,,0.1986925274876956,0.3973850549753912,0.5960775824630868,25.2,,3.0,field_lodo,no pit call from wear
2026,Monza,R,LAW,30,Red Bull Racing,2.0,HARD,5,7.0,11.0,4.0,8.0,0.05815271917124687,0.008878976868257941,0.030903339675026748,0.05815271917124687,,,,,0.29076359585623435,0.5815271917124687,0.872290787568703,17.2,,12.0,field_lodo,no pit call from wear
2026,Monza,R,LAW,30,Red Bull Racing,3.0,MEDIUM,38,14.0,53.0,5.0,44.0,0.026492336998359418,0.0076717235578238185,0.009456048481237754,0.03973850549753912,-0.09373785306718652,0.052239851346164705,0.03535941630561855,-0.025747514347805287,0.13246168499179709,0.26492336998359417,0.3973850549753913,37.7,,,live_field_lodo,no pit call from wear
2026,Monza,R,LEC,16,Ferrari,1.0,SOFT,1,1.0,1.0,1.0,1.0,0.0,0.01450591517625021,-0.03301188950928176,-0.014498875999572563,,,,,0.0,0.0,0.0,,,,field_lodo,no pit call from wear
2026,Monza,R,LIN,41,Racing Bulls,1.0,MEDIUM,2,1.0,2.0,1.0,2.0,0.03391026309753831,0.0076717235578238185,0.009456048481237754,0.03391026309753831,,,,,0.16955131548769153,0.33910263097538307,0.5086539464630746,29.5,,3.0,field_lodo,no pit call from wear
2026,Monza,R,LIN,41,Racing Bulls,2.0,HARD,46,7.0,53.0,4.0,50.0,0.07577493643057441,0.008878976868257941,0.030903339675026748,0.05529686693875171,0.1167310754142198,0.10435437504977761,0.09733368888342424,-0.0285794386192032,0.37887468215287207,0.7577493643057441,1.1366240464586161,13.2,,,live_field_lodo,no pit call from wear
