year,event,session,driver,driver_number,team,lap_number,stint,compound,tyre_life,fresh_tyre,lap_time_s,sector1_s,sector2_s,sector3_s,position,track_status,deleted,is_accurate,is_pit_lap,is_green,fuel_kg_burned,lap_time_fuel_corr_s,assumed_harvest_mj,air_temp_c,track_temp_c,rainfall,sess_FP1,sess_FP2,sess_FP3,sess_Q,sess_R,y_fuel_s,a_y_pred,residual_s
2026,Silverstone,FP1,VER,3,Red Bull Racing,13.0,2.0,HARD,13.0,False,94.132,30.012,37.925,26.195,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,94.132,92.27598817187717,1.8560118281228313
2026,Silverstone,FP1,VER,3,Red Bull Racing,14.0,2.0,HARD,14.0,False,94.429,30.175,38.517,25.737,,12,,True,False,False,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,94.429,92.27598817187717,2.1530118281228283
2026,Silverstone,FP1,VER,3,Red Bull Racing,15.0,2.0,HARD,15.0,False,94.852,30.3,38.159,26.393,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,94.852,92.27598817187717,2.57601182812283
2026,Silverstone,FP1,VER,3,Red Bull Racing,16.0,2.0,HARD,16.0,False,95.093,30.529,38.617,25.947,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,95.093,92.27598817187717,2.81701182812283
2026,Silverstone,FP1,VER,3,Red Bull Racing,17.0,2.0,HARD,17.0,False,94.35,30.341,38.228,25.781,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,94.35,92.27598817187717,2.0740118281228206
2026,Silverstone,FP1,VER,3,Red Bull Racing,18.0,2.0,HARD,18.0,False,94.876,30.295,38.349,26.232,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,94.876,92.27598817187717,2.600011828122831
2026,Silverstone,FP1,VER,3,Red Bull Racing,19.0,2.0,HARD,19.0,False,101.985,31.13,40.386,30.469,,1,,False,True,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,101.985,92.27598817187717,9.709011828122826
2026,Silverstone,FP1,VER,3,Red Bull Racing,20.0,3.0,SOFT,1.0,True,,,44.797,32.869,,1,,False,True,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,,92.7090512699069,
2026,Silverstone,FP1,VER,3,Red Bull Racing,21.0,3.0,SOFT,2.0,True,90.24,28.692,36.628,24.92,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,90.24,92.7090512699069,-2.469051269906899
2026,Silverstone,FP1,VER,3,Red Bull Racing,22.0,3.0,SOFT,3.0,True,,52.275,61.809,38.351,,1,,False,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,,92.7090512699069,
2026,Silverstone,FP1,VER,3,Red Bull Racing,23.0,3.0,SOFT,4.0,True,115.529,39.12,46.272,30.137,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,115.529,92.7090512699069,22.819948730093103
2026,Silverstone,FP1,VER,3,Red Bull Racing,24.0,3.0,SOFT,5.0,True,90.268,28.671,36.462,25.135,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,90.268,92.7090512699069,-2.441051269906893
2026,Silverstone,FP1,VER,3,Red Bull Racing,25.0,3.0,SOFT,6.0,True,143.733,46.709,53.943,43.081,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,143.733,92.7090512699069,51.02394873009311
2026,Silverstone,FP1,VER,3,Red Bull Racing,26.0,3.0,SOFT,7.0,True,,75.017,43.668,38.463,,1,,False,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,,92.7090512699069,
2026,Silverstone,FP1,VER,3,Red Bull Racing,27.0,3.0,SOFT,8.0,True,137.879,71.108,39.901,26.87,,1,,False,True,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,137.879,92.7090512699069,45.1699487300931
2026,Silverstone,FP1,BOR,5,Audi,1.0,1.0,HARD,1.0,True,,,46.006,33.388,,1,,False,True,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,,92.27598817187717,
2026,Silverstone,FP1,BOR,5,Audi,2.0,1.0,HARD,2.0,True,94.93,30.373,38.411,26.146,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,94.93,92.27598817187717,2.654011828122833
2026,Silverstone,FP1,BOR,5,Audi,3.0,1.0,HARD,3.0,True,143.114,44.837,52.693,45.584,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,143.114,92.27598817187717,50.83801182812283
2026,Silverstone,FP1,BOR,5,Audi,4.0,1.0,HARD,4.0,True,93.545,30.315,37.541,25.689,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,93.545,92.27598817187717,1.269011828122828
2026,Silverstone,FP1,BOR,5,Audi,5.0,1.0,HARD,5.0,True,144.275,46.774,54.495,43.006,,1,,True,False,True,,,8.5,22.023809523809526,40.70119047619047,False,0.0,0.0,0.0,0.0,0.0,144.275,92.27598817187717,51.99901182812283
