session,driver_number,driver,lap_number,stint,compound,tyre_age,lap_time_s,fuel_est_kg,te_index,min_gap_s,traffic_flag,air_temp,track_temp,e_deploy_lap_mj,e_harvest_lap_mj,soc_min_lap_mj,n_empty_battery_clips,n_superclips,empty_clip_duration_s,superclip_duration_s,lift_coast_duration_s,fuel_in_stint_kg,is_representative
R,1,NOR,43.0,3.0,MEDIUM,8.0,83.286,24.39999999999999,6.546785410760524,inf,0,25.2,36.1,6.8650285890303255,3.66636536752379,0.4032562790659599,14,0,29.400000000000002,0.0,14.4,-12.6,1
R,1,NOR,44.0,3.0,MEDIUM,9.0,83.192,22.599999999999994,6.569481420414296,inf,0,25.2,36.2,6.550139512857416,3.1127857223387614,0.12896852813587878,14,0,26.59999999999999,0.0,15.4,-14.4,1
R,1,NOR,45.0,3.0,MEDIUM,10.0,82.886,20.799999999999997,6.590301048196686,inf,0,25.1,36.6,6.646585590085868,3.6096699813854896,0.22126577201357067,14,0,26.500000000000018,0.0,15.100000000000001,-16.2,1
R,1,NOR,46.0,3.0,MEDIUM,11.0,82.908,19.0,6.60934924316738,inf,0,25.1,35.7,6.15589298620663,4.237235971825182,1.104239249470969,17,0,28.200000000000003,0.0,15.700000000000001,-18.0,1
R,1,NOR,47.0,3.0,MEDIUM,12.0,82.778,17.200000000000003,6.628041376179533,inf,0,25.1,35.6,6.201910051456796,3.7757106432315,0.8243345819727795,14,0,27.100000000000005,0.0,14.0,-19.8,1
R,1,NOR,48.0,3.0,MEDIUM,13.0,82.953,15.399999999999991,6.645090969505644,inf,0,25.2,35.8,6.245111783601108,3.003667248180184,0.7585554645790986,15,0,27.10000000000002,0.0,14.200000000000001,-21.6,1
R,1,NOR,49.0,3.0,MEDIUM,14.0,82.804,13.599999999999994,6.664409020350408,inf,0,25.1,36.8,6.909821799963302,3.516064434828381,0.12981613709513384,14,1,28.600000000000005,0.8999999999999998,14.0,-23.400000000000002,1
R,1,NOR,50.0,3.0,MEDIUM,15.0,82.763,11.799999999999997,6.684611727667927,inf,0,25.2,36.5,6.885497849280259,3.3408592897836424,0.006080702611989408,16,0,32.30000000000002,0.0,13.0,-25.2,1
R,1,NOR,51.0,3.0,MEDIUM,16.0,82.598,10.0,6.705639094860003,inf,0,25.3,35.9,6.849176275547523,3.5027775906000436,0.2007992063306047,17,0,26.8,0.0,13.8,-27.0,1
R,1,NOR,52.0,3.0,MEDIUM,17.0,82.784,8.200000000000003,6.726233402358747,inf,0,25.3,35.6,6.858496378988278,3.6058437757793076,0.09341910767206478,14,0,29.900000000000006,0.0,12.5,-28.8,1
R,1,NOR,53.0,3.0,MEDIUM,18.0,82.358,6.3999999999999915,6.7464121285733745,inf,0,25.3,35.3,6.420793269653041,2.5745885106575166,0.15379524100449335,15,0,27.100000000000012,0.0,14.200000000000001,-30.6,1
R,1,NOR,54.0,3.0,MEDIUM,19.0,82.796,4.599999999999994,6.7650389767805414,inf,0,25.3,34.8,6.369586403013535,3.578979259429475,0.5618748098603336,16,0,28.400000000000006,0.0,13.9,-32.4,1
R,1,NOR,55.0,3.0,MEDIUM,20.0,82.867,2.799999999999997,6.782192056006791,inf,0,25.3,34.7,6.423745754969748,3.7800918554121035,0.5855182911857054,15,0,27.900000000000027,0.0,15.0,-34.2,1
R,1,NOR,56.0,3.0,MEDIUM,21.0,82.843,1.0,6.8001700683022,inf,0,25.2,34.6,6.126751302249431,3.6354766702333032,0.826613734711304,13,0,27.699999999999978,0.0,16.1,-36.0,1
R,1,NOR,57.0,3.0,MEDIUM,22.0,83.416,-0.7999999999999972,6.816735880594968,inf,0,25.2,34.4,5.796229725649817,3.9694158680168776,1.3503821555603561,17,0,25.700000000000014,0.0,15.600000000000001,-37.800000000000004,1
R,1,NOR,58.0,3.0,MEDIUM,23.0,83.046,-2.6000000000000085,6.835184586147301,inf,0,25.1,34.5,6.617420386990458,3.734609633567322,0.4071646647801858,16,0,30.599999999999994,0.0,13.700000000000001,-39.6,1
R,10,GAS,1.0,1.0,MEDIUM,1.0,97.98,100.0,2.1972245773362196,inf,1,24.2,36.6,6.961733407032057,3.863648844640047,0.9019154376080034,19,0,27.29999999999999,0.0,17.2,0.0,0
R,10,GAS,2.0,1.0,MEDIUM,2.0,87.281,98.2,3.367295829986474,inf,1,24.2,36.0,7.543161575066321,4.030122911221975,0.23766215000669216,17,1,26.80000000000001,1.7000000000000015,16.400000000000002,-1.8,1
R,10,GAS,3.0,1.0,MEDIUM,3.0,86.371,96.4,3.8918202981106265,inf,0,24.1,36.1,6.650612128026853,4.1550985367040845,1.0843949113307991,13,4,24.80000000000002,4.300000000000001,14.4,-3.6,1
R,10,GAS,4.0,1.0,MEDIUM,4.0,85.894,94.6,4.23410650459726,inf,0,24.1,36.1,7.130947916004378,4.616466250676247,0.905372974990032,19,2,31.400000000000002,2.5999999999999996,12.0,-5.4,1
R,10,GAS,6.0,1.0,MEDIUM,6.0,85.989,91.0,4.68213122712422,inf,0,24.2,35.3,6.641261424575344,4.790606728532526,0.9570788419686461,17,0,31.399999999999988,0.0,15.4,-9.0,1
R,10,GAS,7.0,1.0,MEDIUM,7.0,85.079,89.2,4.844187086458591,inf,0,24.3,35.8,7.43514234942975,4.467364913861533,0.3722351808865006,18,1,30.099999999999994,4.300000000000001,15.200000000000001,-10.8,1
R,10,GAS,8.0,1.0,MEDIUM,8.0,84.964,87.4,4.990432586778736,inf,0,24.5,36.6,6.605420057377264,4.861034924895812,1.1566541153959682,17,1,30.699999999999992,2.4000000000000044,15.0,-12.6,1
R,10,GAS,9.0,1.0,MEDIUM,9.0,85.441,85.6,5.117993812416755,inf,0,24.4,38.1,6.192967751188144,5.125207197603897,1.0272190190018307,22,0,29.599999999999987,0.0,14.700000000000001,-14.4,1
R,10,GAS,10.0,1.0,MEDIUM,10.0,86.669,83.8,5.231108616854587,inf,0,24.5,36.7,6.822866684607849,4.422957135314725,0.7548919291535452,18,2,28.900000000000016,5.699999999999999,14.5,-16.2,1
