session,driver_number,driver,lap_number,stint,compound,tyre_age,lap_time_s,fuel_est_kg,te_index,min_gap_s,traffic_flag,air_temp,track_temp,e_deploy_lap_mj,e_harvest_lap_mj,soc_min_lap_mj,n_empty_battery_clips,n_superclips,empty_clip_duration_s,superclip_duration_s,lift_coast_duration_s,fuel_in_stint_kg,is_representative,event
R,55,SAI,18.0,2.0,HARD,13.0,86.915,69.4,5.680172609017068,inf,0,32.6,54.4,5.328842954243348,4.220132507925422,1.6341327822626486,11,0,30.000000000000018,0.0,12.1,-21.6,1,Monza
R,55,SAI,19.0,2.0,HARD,14.0,87.074,67.6,5.749392985908253,inf,0,32.6,54.2,5.99888698432776,4.1078110421773655,0.8712487613047035,13,0,31.100000000000023,0.0,12.1,-23.4,1,Monza
R,55,SAI,20.0,2.0,HARD,15.0,86.895,65.8,5.8111409929767,inf,0,32.5,54.6,5.770850543233038,4.128323004332687,1.1491261906260932,17,0,29.80000000000004,0.0,10.8,-25.2,1,Monza
R,55,SAI,21.0,2.0,HARD,16.0,87.067,64.0,5.872117789475416,inf,0,32.5,53.8,6.160585907759139,4.119928457903342,0.707441736887585,11,1,27.99999999999999,3.7000000000000015,9.8,-27.0,1,Monza
R,55,SAI,22.0,2.0,HARD,17.0,87.456,62.2,5.924255797414532,inf,0,32.4,53.8,5.171914071431411,3.848001513407372,1.44537774049894,10,1,30.80000000000002,3.1,9.6,-28.8,1,Monza
R,55,SAI,23.0,2.0,HARD,18.0,87.169,60.4,5.976350909297934,inf,0,32.5,54.1,5.393033651289038,4.1415080421681605,1.5293320409176026,12,1,32.09999999999999,3.300000000000003,9.2,-30.6,1,Monza
R,55,SAI,24.0,2.0,HARD,19.0,87.005,58.6,6.023447592961033,inf,0,32.4,53.5,5.6318070145384365,3.888130038227266,1.062940409361992,12,1,30.700000000000028,3.6,8.6,-32.4,1,Monza
R,55,SAI,25.0,2.0,HARD,20.0,87.114,56.8,6.07073772800249,inf,0,32.4,53.2,5.959202904575943,4.170893804617219,0.989618461894396,13,0,34.2,0.0,12.1,-34.2,1,Monza
R,55,SAI,26.0,2.0,HARD,21.0,87.305,55.0,6.111467339502679,inf,0,32.5,54.0,5.8933126025587725,3.943913603994881,0.8196022081577216,12,1,30.79999999999999,3.1,8.4,-36.0,1,Monza
R,55,SAI,29.0,3.0,MEDIUM,1.0,86.613,49.6,6.202535517187923,inf,0,32.4,53.7,6.7070947939306,3.704939515491611,0.015731902593954,14,0,36.90000000000002,0.0,8.5,0.0,1,Monza
R,55,SAI,30.0,3.0,MEDIUM,2.0,86.488,47.8,6.240275845170769,inf,0,32.3,53.3,6.284502563680013,3.664035752882221,0.2544901115723579,12,0,30.90000000000003,0.0,10.7,-1.8,1,Monza
