session,driver_number,driver,lap_number,stint,compound,tyre_age,lap_time_s,fuel_est_kg,te_index,min_gap_s,traffic_flag,air_temp,track_temp,e_deploy_lap_mj,e_harvest_lap_mj,soc_min_lap_mj,n_empty_battery_clips,n_superclips,empty_clip_duration_s,superclip_duration_s,lift_coast_duration_s,fuel_in_stint_kg,is_representative
R,10,GAS,26.0,2.0,HARD,20.0,85.888,55.0,6.093569770045136,inf,0,32.5,54.0,5.7221927213308055,3.7159916814163254,0.8716185549448257,12,0,35.599999999999994,0.0,11.0,-34.2,1
R,10,GAS,27.0,2.0,HARD,21.0,85.82,53.199999999999996,6.137727054086234,inf,0,32.5,54.3,5.809335820226429,3.863213473662361,0.857880066321455,11,1,35.7,0.3000000000000028,10.700000000000001,-36.0,1
R,10,GAS,28.0,2.0,HARD,22.0,111.068,51.4,6.163314804034641,inf,1,32.5,53.5,1.9775,2.7789806893848406,3.3349999999999973,4,0,4.299999999999986,0.0,24.3,-37.800000000000004,0
R,10,GAS,29.0,2.0,HARD,23.0,92.132,49.6,6.18826412308259,inf,1,32.6,54.0,7.427657705962826,3.495499544618362,0.05839984784534092,12,1,40.90000000000002,3.4999999999999987,15.4,-39.6,1
R,10,GAS,30.0,2.0,HARD,24.0,86.733,47.8,6.222576268071369,inf,0,32.3,53.3,6.22211836080334,3.9087154758208396,0.48719948817577,13,1,37.299999999999976,3.5000000000000058,8.1,-41.4,1
R,10,GAS,31.0,2.0,HARD,25.0,86.423,46.0,6.259581464064923,inf,0,32.3,54.1,6.082511883466895,3.714922996546419,0.4440391972305262,13,1,35.29999999999998,3.6,8.9,-43.2,1
R,10,GAS,32.0,2.0,HARD,26.0,85.927,44.199999999999996,6.295266001439646,inf,0,32.7,53.9,6.2983413144435705,3.8760610993394815,0.41483873787911896,9,2,37.00000000000002,3.8000000000000016,8.0,-45.0,1
R,10,GAS,33.0,2.0,HARD,27.0,86.073,42.4,6.329720905522696,inf,0,32.7,53.8,6.130116676463144,3.710945772301845,0.4680955164795854,12,1,36.30000000000002,3.6,7.9,-46.800000000000004,1
R,10,GAS,34.0,2.0,HARD,28.0,85.974,40.6,6.361302477572996,inf,0,32.8,54.2,5.405541228264418,3.912260554031053,1.3277592736330657,13,0,30.60000000000002,0.0,11.100000000000001,-48.6,1
R,10,GAS,35.0,2.0,HARD,29.0,85.963,38.8,6.391917113392602,inf,0,32.9,54.2,5.993134570747895,3.147705394225369,0.017030583662944524,11,2,39.50000000000003,4.100000000000006,7.6000000000000005,-50.4,1
R,10,GAS,36.0,2.0,HARD,30.0,86.041,37.0,6.423246963533519,inf,0,32.8,53.8,6.496249959880234,3.6173548456359454,0.02879808110402961,9,1,35.19999999999996,3.3999999999999972,7.4,-52.2,1
R,10,GAS,37.0,2.0,HARD,31.0,85.938,35.2,6.453624998892692,inf,0,32.8,53.6,6.330921414765892,3.5586799071273107,0.13443025945973242,10,1,35.19999999999999,0.3000000000000028,9.700000000000001,-54.0,1
R,10,GAS,38.0,2.0,HARD,32.0,85.998,33.39999999999999,6.483107351457199,inf,0,32.8,53.7,6.312981537682278,3.4065054082624946,0.01387866959009361,9,2,34.49999999999998,4.2999999999999945,6.7,-55.800000000000004,1
R,10,GAS,39.0,2.0,HARD,33.0,85.938,31.599999999999994,6.511745329644728,inf,0,32.7,53.1,5.92070241611434,3.5667235655814498,0.552389080379806,13,0,41.100000000000016,0.0,9.700000000000001,-57.6,1
R,10,GAS,40.0,2.0,HARD,34.0,85.844,29.799999999999997,6.53813982376767,inf,0,32.8,53.4,6.384673619078372,3.4126640441807234,0.02677637189454429,14,1,42.39999999999997,3.800000000000003,8.200000000000001,-59.4,1
R,10,GAS,41.0,2.0,HARD,35.0,85.878,28.0,6.565264970035361,inf,0,32.7,53.0,6.349676116141016,3.396681643648206,0.010159223290906126,9,1,44.30000000000001,3.7000000000000015,6.1000000000000005,-61.2,1
R,10,GAS,42.0,2.0,HARD,36.0,85.776,26.200000000000003,6.590301048196686,inf,0,32.8,52.9,6.3672591336690445,3.3964711852627643,0.026581041533119777,8,1,35.59999999999997,3.599999999999993,7.0,-63.0,1
R,10,GAS,43.0,2.0,HARD,37.0,85.92,24.39999999999999,6.61472560020376,inf,0,32.7,53.3,6.302020487993507,3.426105453293523,0.017784684547972808,14,1,37.40000000000003,3.4999999999999987,7.1000000000000005,-64.8,1
R,10,GAS,44.0,2.0,HARD,38.0,85.632,22.599999999999994,6.638567789166521,inf,0,32.5,53.0,6.305636899655812,3.4163982815442844,0.023591773211861428,12,1,37.500000000000014,3.7000000000000015,6.800000000000001,-66.60000000000001,1
R,10,GAS,45.0,2.0,HARD,39.0,85.779,20.799999999999997,6.663132695990803,inf,0,32.6,52.5,6.006795926222447,3.5160426487112986,0.4271666078000129,11,0,35.6,0.0,9.4,-68.4,1
R,10,GAS,46.0,2.0,HARD,40.0,85.52,19.0,6.687108607866515,inf,0,32.6,52.7,6.24484045275358,3.3462592006047336,0.020206710246788884,10,1,36.5,3.9999999999999987,6.800000000000001,-70.2,1
R,10,GAS,47.0,2.0,HARD,41.0,85.566,17.200000000000003,6.709304340258299,inf,0,32.8,52.7,6.288591668421127,3.401772968861509,0.035208872219154544,13,1,38.000000000000014,3.3999999999999972,7.1000000000000005,-72.0,1
R,10,GAS,48.0,2.0,HARD,42.0,85.453,15.399999999999991,6.731018100482083,inf,0,32.8,52.0,6.310533152223517,3.4316270957542967,0.019192811975467513,10,1,37.70000000000001,3.6,6.800000000000001,-73.8,1
R,10,GAS,49.0,2.0,HARD,43.0,85.364,13.599999999999994,6.75110146893676,inf,0,32.6,52.5,6.19291047976905,3.264091570259609,0.012853120838418282,9,1,44.499999999999986,3.800000000000003,7.7,-75.60000000000001,1
R,10,GAS,50.0,2.0,HARD,44.0,85.277,11.799999999999997,6.773080375655535,inf,0,32.6,52.6,6.1598552493514465,3.4100465352308635,0.16769253308466991,9,0,38.1,0.0,9.0,-77.4,1
R,10,GAS,51.0,2.0,HARD,45.0,85.505,10.0,6.794586580876499,inf,0,32.7,51.8,5.639687547396459,3.4690798999359016,0.763435743237124,12,1,41.800000000000004,0.3000000000000028,9.3,-79.2,1
R,10,GAS,52.0,2.0,HARD,46.0,85.223,8.200000000000003,6.815639990074331,inf,0,32.6,52.4,6.150113737755665,3.3029233445407966,0.02312210622880279,11,1,45.59999999999998,3.6,6.4,-81.0,1
R,10,GAS,53.0,2.0,HARD,47.0,84.927,6.3999999999999915,6.835184586147301,inf,0,32.6,51.9,6.292832882809469,3.505474263073858,0.11390439592790112,12,2,40.70000000000002,4.100000000000006,7.4,-82.8,1
R,11,PER,1.0,1.0,SOFT,1.0,96.657,100.0,2.833213344056216,inf,1,31.8,55.8,7.403480033048686,7.160584115812432,2.224633686378307,12,0,39.800000000000004,0.0,17.6,0.0,1
R,11,PER,2.0,1.0,SOFT,2.0,90.033,98.2,3.6109179126442243,inf,0,32.0,56.2,6.1099181337813855,6.970665890392036,1.8984736413278076,11,0,36.1,0.0,16.2,-1.8,1
