session,driver_number,driver,lap_number,stint,compound,tyre_age,lap_time_s,fuel_est_kg,te_index,min_gap_s,traffic_flag,air_temp,track_temp,e_deploy_lap_mj,e_harvest_lap_mj,soc_min_lap_mj,n_empty_battery_clips,n_superclips,empty_clip_duration_s,superclip_duration_s,lift_coast_duration_s,fuel_in_stint_kg,is_representative
R,31,OCO,33.0,2.0,HARD,11.0,95.41,42.4,6.495265555937008,inf,0,25.6,38.3,6.390251132755282,2.8923554609752626,6.549985883639377e-05,13,0,38.90000000000001,0.0,12.8,-18.0,1
R,31,OCO,34.0,2.0,HARD,12.0,96.252,40.6,6.522092798170152,inf,0,25.6,38.9,6.595164018292494,3.149288039690634,0.0013801270849470412,14,0,37.1,0.0,13.0,-19.8,1
R,31,OCO,35.0,2.0,HARD,13.0,95.455,38.8,6.54965074223381,inf,0,25.5,38.9,6.711214164287847,3.324943051855576,0.003707536423942418,17,1,36.99999999999999,2.7000000000000015,13.3,-21.6,1
R,31,OCO,36.0,2.0,HARD,14.0,95.142,37.0,6.577861357721047,inf,0,25.2,38.9,6.875860812096786,3.4114160192681693,0.05289657801867408,14,0,39.49999999999999,0.0,14.600000000000001,-23.400000000000002,1
R,31,OCO,37.0,2.0,HARD,15.0,100.71,35.2,6.6039438246004725,inf,1,25.3,38.9,6.471849958231596,3.2097454364843268,0.00265098969264928,9,0,36.79999999999999,0.0,14.700000000000001,-25.2,1
R,31,OCO,38.0,2.0,HARD,16.0,113.76,33.39999999999999,6.626717749249025,inf,1,25.4,38.9,1.8974285539265605,2.422741060780453,2.516435755187006,4,0,8.199999999999983,0.0,17.8,-27.0,0
R,31,OCO,39.0,2.0,HARD,17.0,95.393,31.599999999999994,6.651571873589727,inf,0,25.3,38.4,6.43929878363565,3.5269331735963134,0.8033482203714177,13,0,36.99999999999999,0.0,12.3,-28.8,1
R,31,OCO,40.0,2.0,HARD,18.0,95.486,29.799999999999997,6.677083461247136,inf,0,25.4,38.8,6.6138779496808775,3.002418513631022,0.021134988371856147,13,0,36.70000000000005,0.0,15.200000000000001,-30.6,1
R,31,OCO,41.0,2.0,HARD,19.0,95.127,28.0,6.70196036600254,inf,0,25.6,38.7,6.599942010673112,3.104532051595426,0.012034373999515116,11,0,35.999999999999986,0.0,14.3,-32.4,1
R,31,OCO,42.0,2.0,HARD,20.0,95.893,26.200000000000003,6.726233402358747,inf,0,25.4,39.0,6.2893581909507645,3.1010528012386067,0.36931459204591555,8,0,32.500000000000014,0.0,12.9,-34.2,1
R,31,OCO,43.0,2.0,HARD,21.0,94.792,24.39999999999999,6.747586526829315,inf,0,25.6,38.7,6.660168706534385,3.158182167600632,0.08362965270121,10,0,34.60000000000001,0.0,14.200000000000001,-36.0,1
R,31,OCO,44.0,2.0,HARD,22.0,95.925,22.599999999999994,6.771935555839602,inf,0,25.4,38.2,6.24069213693395,3.1100507545451004,0.44877217922063656,11,0,33.699999999999974,0.0,14.0,-37.800000000000004,1
R,31,OCO,45.0,2.0,HARD,23.0,94.896,20.799999999999997,6.794586580876499,inf,0,25.6,38.7,6.73915740340793,3.1208304370395332,0.0453932528071352,12,0,36.79999999999997,0.0,13.600000000000001,-39.6,1
R,31,OCO,46.0,2.0,HARD,24.0,101.821,19.0,6.815639990074331,inf,1,25.6,38.7,6.482445113699345,3.242082829151613,0.045193372597280804,13,0,33.100000000000016,0.0,19.3,-41.4,1
R,31,OCO,49.0,3.0,SOFT,1.0,142.847,13.599999999999994,6.835184586147301,inf,1,25.4,39.7,2.5749508012393676,3.242183104849198,2.2521028135606804,4,0,11.000000000000002,0.0,21.400000000000002,0.0,0
R,31,OCO,50.0,3.0,SOFT,2.0,102.089,11.799999999999997,6.851184927493743,inf,0,25.5,39.3,6.262735891770824,2.822663972908405,0.004571836083811086,11,0,25.200000000000014,0.0,14.200000000000001,-1.8,1
R,31,OCO,51.0,3.0,SOFT,3.0,95.859,10.0,6.859614903654202,inf,0,25.7,39.3,6.3199962964612,2.8400612977400206,0.004150673038827176,12,0,34.5,0.0,14.700000000000001,-3.6,1
R,31,OCO,52.0,3.0,SOFT,4.0,116.629,8.200000000000003,6.879355804460439,inf,1,25.8,40.1,2.6789185922417698,2.2515669597178167,2.3950260669152486,3,0,10.500000000000007,0.0,20.400000000000002,-5.4,1
R,41,LIN,1.0,1.0,MEDIUM,1.0,103.006,100.0,2.1972245773362196,inf,1,24.4,40.6,5.9224694892957395,3.9179983110368823,1.4956771686413528,18,0,28.199999999999996,0.0,20.900000000000002,0.0,1
R,41,LIN,2.0,1.0,MEDIUM,2.0,96.203,98.2,3.367295829986474,inf,0,24.6,42.2,7.289289007250541,3.6685654470052835,0.005061251711069759,18,0,26.300000000000015,0.0,16.8,-1.8,1
R,41,LIN,3.0,1.0,MEDIUM,3.0,95.959,96.4,3.8918202981106265,inf,0,24.6,42.3,7.1243195504794965,3.5947389447085403,0.020988944873603116,17,0,31.8,0.0,17.0,-3.6,1
R,41,LIN,4.0,1.0,MEDIUM,4.0,95.642,94.6,4.248495242049359,inf,0,24.5,41.7,7.163028679519842,3.6685043388027085,0.04329551388538452,12,0,37.19999999999999,0.0,16.3,-5.4,1
R,41,LIN,5.0,1.0,MEDIUM,5.0,95.73,92.8,4.5217885770490405,inf,0,24.5,42.6,7.173506374015686,3.6898473124590336,0.07859349548390489,11,0,38.3,0.0,16.900000000000002,-7.2,1
R,41,LIN,6.0,1.0,MEDIUM,6.0,95.824,91.0,4.736198448394496,inf,0,24.5,42.3,7.09177403218256,3.6980180185122045,0.04968140819442312,11,0,34.70000000000002,0.0,17.6,-9.0,1
R,41,LIN,7.0,1.0,MEDIUM,7.0,95.972,89.2,4.912654885736052,inf,0,24.5,42.3,7.02382983256385,3.5290425449587066,0.01781750377842642,10,0,38.90000000000002,0.0,17.8,-10.8,1
R,41,LIN,8.0,1.0,MEDIUM,8.0,96.144,87.4,5.062595033026967,inf,0,25.0,42.4,7.160138858414839,3.664418324577653,0.011231404980466384,10,0,38.099999999999994,0.0,15.200000000000001,-12.6,1
R,41,LIN,9.0,1.0,MEDIUM,9.0,96.4,85.6,5.187385805840755,inf,0,25.3,41.5,7.019376210255964,3.544105679985617,0.027543774340968646,14,0,36.400000000000006,0.0,17.5,-14.4,1
R,41,LIN,10.0,1.0,MEDIUM,10.0,96.249,83.8,5.298317366548036,inf,0,25.2,42.4,7.112761958123249,3.7298657538721476,0.023997939357955876,12,0,37.40000000000003,0.0,17.3,-16.2,1
R,41,LIN,11.0,1.0,MEDIUM,11.0,96.093,82.0,5.393627546352361,inf,0,25.2,42.4,7.1384569766868164,3.6742424447582542,0.013016853863000583,9,0,39.30000000000001,0.0,16.1,-18.0,1
R,41,LIN,12.0,1.0,MEDIUM,12.0,95.905,80.2,5.488937726156687,inf,0,25.0,42.4,7.091978640900992,3.6961953848193416,0.06186579801445767,13,0,36.6,0.0,16.7,-19.8,1
R,41,LIN,13.0,1.0,MEDIUM,13.0,96.167,78.4,5.572154032177765,inf,0,25.0,42.4,7.002481896348653,3.7668809220651647,0.058816842418432956,14,0,38.39999999999999,0.0,17.6,-21.6,1
R,41,LIN,14.0,1.0,MEDIUM,14.0,95.72,76.6,5.652489180268651,inf,0,25.0,43.8,7.185267837997156,3.827637162610038,0.07939680305491775,11,0,36.69999999999999,0.0,18.2,-23.400000000000002,1
R,41,LIN,15.0,1.0,MEDIUM,15.0,95.448,74.8,5.726847747587197,inf,0,24.9,43.7,7.0563611900140994,3.660797704012114,0.05438936174945374,12,0,39.000000000000014,0.0,17.3,-25.2,1
R,41,LIN,16.0,1.0,MEDIUM,16.0,95.99,73.0,5.7899601708972535,inf,0,25.0,42.9,7.142069041183623,3.601500174128418,0.018078434094474596,13,0,38.699999999999996,0.0,17.5,-27.0,1
R,41,LIN,17.0,1.0,MEDIUM,17.0,95.751,71.2,5.849324779946859,inf,0,25.0,42.6,7.031084953338546,3.771716929814267,0.03876681250850026,12,0,35.900000000000006,0.0,17.3,-28.8,1
R,41,LIN,18.0,1.0,MEDIUM,18.0,95.857,69.4,5.8998973535824915,inf,0,25.0,42.6,7.015316201342889,3.73655839534497,0.036228442414344086,9,0,37.10000000000001,0.0,16.8,-30.6,1
R,41,LIN,19.0,1.0,MEDIUM,19.0,95.923,67.6,5.948034989180646,inf,0,25.3,41.5,7.190376077832916,3.731718592137296,0.058477519681495276,9,0,38.00000000000001,0.0,17.0,-32.4,1
R,41,LIN,20.0,1.0,MEDIUM,20.0,95.841,65.8,5.998936561946683,inf,0,25.3,40.8,7.085700530585315,3.6895407733359686,0.008487745111096597,13,0,38.199999999999996,0.0,16.5,-34.2,1
R,41,LIN,21.0,1.0,MEDIUM,21.0,95.779,64.0,6.045005314036012,inf,0,26.0,40.8,6.993435266063286,3.5334559602479496,0.02737271205331433,11,0,36.09999999999998,0.0,17.5,-36.0,1
R,41,LIN,22.0,1.0,MEDIUM,22.0,106.791,62.199999999999996,6.0867747269123065,inf,1,25.5,41.6,5.900021529586915,3.9361807330041554,0.2653183626540472,11,0,28.999999999999986,0.0,21.5,-37.800000000000004,0
R,41,LIN,23.0,1.0,MEDIUM,23.0,96.608,60.4,6.126869184114185,inf,0,25.6,41.5,6.663050513983922,3.8399751167641822,0.49351173191671954,11,0,32.20000000000001,0.0,17.7,-39.6,1
R,41,LIN,24.0,1.0,MEDIUM,24.0,95.523,58.6,6.16541785423142,inf,0,25.3,41.3,7.060034254384766,3.7047470206710296,0.08091004825632656,10,0,38.60000000000001,0.0,16.5,-41.4,1
R,41,LIN,25.0,1.0,MEDIUM,25.0,95.82,56.8,6.20050917404269,inf,0,26.0,41.3,6.66381153325754,3.8073134017187273,0.46593310534303933,10,0,33.79999999999998,0.0,17.6,-43.2,1
R,41,LIN,26.0,1.0,MEDIUM,26.0,95.523,55.0,6.238324625039508,inf,0,25.6,39.3,6.654033700358579,3.9382166444916518,0.5242405800669678,13,0,31.999999999999986,0.0,17.1,-45.0,1
R,41,LIN,29.0,2.0,HARD,1.0,93.632,49.6,6.345636360828596,inf,0,24.9,38.1,7.145126814504158,3.664300895273257,0.09424989284903094,12,0,39.00000000000001,0.0,15.0,0.0,1
R,41,LIN,30.0,2.0,HARD,2.0,93.928,47.8,6.380122536899765,inf,0,25.4,37.5,6.943934794909955,3.5847622356708984,0.17906146848733295,12,0,34.200000000000024,0.0,15.5,-1.8,1
R,41,LIN,31.0,2.0,HARD,3.0,93.748,46.0,6.411818267709897,inf,0,25.0,38.8,6.669365913251545,3.667812866312641,0.4922222806045559,13,0,35.40000000000002,0.0,15.9,-3.6,1
R,41,LIN,32.0,2.0,HARD,4.0,93.919,44.199999999999996,6.4457198193855785,inf,0,25.2,37.7,6.376182275748171,3.8829180622497383,0.9604338132858972,11,0,34.90000000000001,0.0,15.700000000000001,-5.4,1
R,41,LIN,33.0,2.0,HARD,5.0,93.853,42.4,6.478509642208569,inf,0,25.8,37.7,6.447569446130153,3.9957207134138226,0.8704351934883946,12,0,32.59999999999998,0.0,15.3,-7.2,1
R,41,LIN,34.0,2.0,HARD,6.0,94.074,40.6,6.508769136971682,inf,0,25.5,38.3,6.932852463943616,3.6251637669928387,0.20085533442197145,13,0,31.299999999999997,0.0,15.700000000000001,-9.0,1
R,41,LIN,35.0,2.0,HARD,7.0,94.158,38.8,6.535241271013659,inf,0,25.6,38.9,7.186793522670079,3.7775712982601704,0.14218550768329133,12,0,35.39999999999999,0.0,15.9,-10.8,1
R,41,LIN,36.0,2.0,HARD,8.0,94.38,37.0,6.5638555265321274,inf,0,25.4,38.9,7.1063541334303775,3.713992107715328,0.08046938586200568,11,0,36.60000000000001,0.0,15.9,-12.6,1
R,41,LIN,37.0,2.0,HARD,9.0,94.247,35.2,6.590301048196686,inf,0,25.3,38.9,6.715192908498246,3.759211293263605,0.4774482041368935,10,0,37.19999999999998,0.0,15.3,-14.4,1
R,41,LIN,38.0,2.0,HARD,10.0,113.527,33.39999999999999,6.612041034833092,inf,1,25.4,38.9,5.826221902837554,4.030031396945275,1.0335854818810952,5,0,30.699999999999992,0.0,27.700000000000003,-16.2,0
R,41,LIN,39.0,2.0,HARD,11.0,97.215,31.599999999999994,6.634633357861686,inf,1,25.3,38.8,6.135105786633857,3.1780719262345096,0.5033126383186525,13,0,33.8,0.0,15.600000000000001,-18.0,1
R,41,LIN,40.0,2.0,HARD,12.0,94.136,29.799999999999997,6.660575149839686,inf,0,25.4,38.4,6.979894190194005,3.6717726351803117,0.055333095972118274,12,0,37.199999999999996,0.0,14.600000000000001,-19.8,1
R,41,LIN,41.0,2.0,HARD,13.0,94.369,28.0,6.68586094706836,inf,0,25.4,38.8,7.024635047026832,3.602250406816589,0.07833750793566009,12,0,35.999999999999986,0.0,14.8,-21.6,1
R,41,LIN,42.0,2.0,HARD,14.0,94.11,26.200000000000003,6.710523109452428,inf,0,25.4,38.7,6.853358234347003,3.6263464317401564,0.3560006893059339,14,0,35.300000000000004,0.0,14.0,-23.400000000000002,1
